Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2024-01-15,3086.67627,1192.160034,5873.736328,3207.386475,1118.636719,7243.083496,1631.37085,675.5645752,1096.290649,218.5194244,5110.827148,1302.109497,357.8442993,3885.750732,1149.840942,3790.105713,2092.957031,1510.723267,1650.264893,612.3674927,4211.592285,571.3745728,2538.264893,1001.230591,1670.306641,1588.266724,437.6998291,818.7365112,1849.4729,3482.932861,1623.661499,9992.517578,2513.314209,307.4645996,218.5408325,229.2192383,1394.125,1424.77417,617.1506348,26665.47266,1309.743286,803.0460815,129.2222137,3754.5896,1301.627319,3746.59082,9895.864258,567.75,241.9656525
2024-01-16,3053.706543,1182.498779,5881.855469,3229.918945,1118.236938,7235.147949,1622.47644,673.6358643,1089.82666,224.6481323,5064.677734,1291.400146,355.2859497,3791.230957,1144.850464,3750.741943,2107.102783,1479.570801,1656.529419,609.1783447,4223.39209,576.2466431,2534.220703,1000.437439,1648.745972,1568.51062,442.0992737,825.8308716,1845.976807,3512.865967,1608.571899,10088.2627,2507.887939,301.8443909,220.0383301,227.2231598,1374.625,1403.602661,614.0654297,26932.38867,1294.077759,809.3719482,131.4732971,3713.714111,1284.841797,3807.840332,9910.825195,564.5,237.2691956
2024-01-17,2968.334717,1156.239746,5903.123535,3176.428467,1081.465454,7108.180176,1585.149902,664.8005981,1079.235596,224.0780182,4996.663086,1283.120361,353.1927185,3706.053711,1123.337891,3709.993408,2059.934082,1499.023315,1516.787598,604.5440674,4210.099609,557.0566406,2528.104736,973.3704224,1625.85022,1576.826416,436.7637634,806.3336792,1777.70166,3510.359375,1586.086548,9957.646484,2508.923828,299.7125549,217.1837311,227.3657227,1361.574951,1415.906982,603.5561523,25992.51367,1279.840942,796.2259521,126.1090012,3736.123535,1291.020752,3817.558594,9796.553711,551,235.9972229
2024-01-18,2916.232178,1143.556152,5967.824219,3099.572266,1096.653687,7026.493652,1580.153076,656.3718262,1081.025757,224.8144226,4950.710938,1311.827026,349.4714966,3677.628174,1123.337891,3650.700195,2045.78833,1491.080688,1466.129395,605.7399902,4232.397949,551.7371826,2513.407227,977.9311523,1595.190552,1579.133667,435.7341003,797.4036255,1775.304199,3534.984375,1605.494507,9831.636719,2468.376221,290.0224915,218.5876312,221.9002075,1367.949951,1399.716919,605.7736816,26330.7832,1316.048828,809.5696411,125.486351,3753.435547,1318.656006,3722.519531,9833.931641,544.2000122,236.1195374
2024-01-19,2912.985107,1141.970581,6071.224609,3101.531982,1115.688965,7079.016602,1599.490845,661.2095337,1118.765381,228.4963989,5072.624023,1316.784912,356.5418701,3671.26709,1126.966431,3658.909424,2073.23291,1502.966797,1450.838135,613.8126221,4237.937012,553.9245605,2530.570801,990.6715088,1543.959229,1595.092285,441.3504333,810.3025513,1762.368408,3584.135742,1643.516113,9943.777344,2480.362793,298.888916,226.5430908,223.7537231,1367.449951,1435.285278,605.2434692,26502.17969,1315.901001,814.0176392,128.5995789,3801.105469,1352.470093,3798.172119,10034.19434,553.4000244,237.2936401
2024-01-23,2893.902832,1126.760254,6130.098145,2992.639648,1088.410034,7038.694336,1581.502197,638.769043,1151.582397,219.9922028,4983.237793,1397.153564,349.145874,3593.295898,1128.199097,3577.066162,2041.754028,1460.502808,1408.12146,584.1634521,4280.752441,538.3140869,2343.29834,1020.266785,1425.870239,1578.70105,429.930542,784.2565918,1782.546265,3490.747803,1583.604736,9768.186523,2429.801514,293.2202759,215.171463,226.1775665,1328.574951,1370.425415,583.4055176,27341.76563,1357.971436,791.1849976,124.6242447,3719.358154,1329.846313,3727.453125,9773.042969,535.0999756,229.8820496
2024-01-24,2900.796143,1110.410278,6189.46875,2938.511963,1058.333252,7154.70166,1619.828003,637.3778076,1183.355347,226.69104,5076.178223,1405.43335,355.9371643,3621.32373,1173.471069,3595.165771,2063.37085,1511.066528,1436.286865,579.6786499,4270.590332,561.9287109,2408.500977,990.6715088,1474.480591,1610.666382,433.9556274,805.887146,1786.641724,3528.299561,1616.265625,9894.741211,2480.165283,299.2765198,219.3364105,234.0194092,1343.875,1405.346069,596.1322021,27482.38086,1361.71521,801.5140381,129.4616852,3703.5,1370.034058,3755.561523,9931.602539,545.75,234.3679047
2024-01-25,2890.955566,1135.876709,6145.139648,2889.283203,1041.446289,7536.250488,1629.122192,640.1060791,1154.118408,225.3845215,5075.83252,1358.134399,362.2632751,3557.067871,1164.205811,3576.818848,2068.551025,1486.000244,1415.569824,577.0376587,4278.777344,563.967041,2395.332031,1001.329773,1495.398438,1604.609863,426.5139771,809.3599243,1766.463989,3532.477539,1623.611816,9788.543945,2448.792725,304.9936218,219.055603,233.3540344,1353.074951,1375.805542,590.781189,27794.29883,1348.118896,802.4530029,128.1206055,3673.134277,1286.44751,3757.903564,9910.577148,537.2999878,230.4213409
2024-01-29,3061.848877,1185.768799,6305.421387,2915.587646,1060.431641,7487.943359,1635.917847,649.6956787,1155.709473,234.0549927,5070.896484,1325.610107,384.0325623,3548.818848,1161.859741,3628.842529,2096.443848,1509.293213,1435.053711,576.5891724,4424.561035,564.6630859,2411.213623,1007.724731,1510.036011,1592.592773,421.0379944,805.3909912,1820.904297,3645.083984,1628.079102,9897.911133,2464.972656,314.4898376,236.3236084,241.3859711,1448.050049,1413.167114,600.6155396,28254.49219,1380.188721,831.265625,129.3179932,3664.168945,1278.954712,3854.039063,10213.48145,539.6500244,231.8921051
2024-01-30,3088.275146,1176.553345,6285.547852,2894.08374,1053.287109,7505.401367,1589.547241,615.8677368,1152.228882,239.5423279,5026.32666,1306.026123,374.4968567,3530.033936,1161.312866,3664.151367,2118.010742,1494.675293,1424.84314,573.0512085,4419.600586,566.0053711,2425.27002,1008.220459,1503.21167,1587.641724,410.0393372,805.6886597,1821.603516,3571.651367,1608.571899,9858.533203,2458.560059,305.671936,233.2350159,241.5285797,1407.625,1393.838745,604.2792969,27922.53516,1351.517944,848.9089966,129.0306396,3663.735107,1282.360352,3723.566162,9904.861328,535.25,231.6469727
